station_id,station_name,radius_m,band,n_routes,n_destinations,n_departures,departures_per_hour,retention,grade,best_headway_min,expected_wait_min,nearest_bus_stop_m,usable
BEG,Begumpet,800,late_night,10,4,28,5.6,0.04366471734892787,collapsed,42.857142857142854,5.357142857142857,318.61078016507787,True
BEG,Begumpet,800,midday,55,40,602,100.33333333333333,0.7823261858349577,maintained,2.7906976744186047,0.29900332225913623,318.61078016507787,True
BEG,Begumpet,800,morning_peak,47,29,323,107.66666666666667,0.8395061728395062,maintained,2.4,0.2786377708978328,318.61078016507787,True
BEG,Begumpet,800,night,30,20,281,93.66666666666667,0.7303443794671866,maintained,2.4,0.3202846975088968,318.61078016507787,True
BTN,Bharat Nagar,300,evening_peak,5,7,50,12.5,1.0,maintained,12.0,2.4,179.20666021124947,True
BTN,Bharat Nagar,300,late_night,0,0,0,0.0,0.0,no_service,,inf,,False
BTN,Bharat Nagar,300,midday,5,5,55,9.166666666666666,0.7333333333333333,maintained,14.4,3.2727272727272725,179.20666021124947,True
BTN,Bharat Nagar,300,morning_peak,4,5,39,13.0,1.04,maintained,10.588235294117647,2.3076923076923075,179.20666021124947,True
BTN,Bharat Nagar,300,night,2,3,11,3.6666666666666665,0.29333333333333333,reduced,30.0,8.181818181818182,179.20666021124947,True
BTN,Bharat Nagar,500,evening_peak,45,34,529,132.25,1.0,maintained,3.0,0.2268431001890359,179.20666021124947,True
BTN,Bharat Nagar,500,late_night,4,3,5,1.0,0.007561436672967864,no_service,150.0,30.0,493.78898229928814,True
BTN,Bharat Nagar,500,midday,55,38,742,123.66666666666667,0.9350976685570259,maintained,3.870967741935484,0.24258760107816715,179.20666021124947,True
BTN,Bharat Nagar,500,morning_peak,50,34,361,120.33333333333333,0.909892879647133,maintained,4.0,0.24930747922437674,179.20666021124947,True
BTN,Bharat Nagar,500,night,31,25,223,74.33333333333333,0.5620667926906112,maintained,5.625,0.40358744394618845,179.20666021124947,True
BTN,Bharat Nagar,800,evening_peak,62,68,638,159.5,1.0,maintained,3.0,0.1880877742946708,179.20666021124947,True
BTN,Bharat Nagar,800,late_night,6,5,9,1.8,0.011285266457680252,collapsed,100.0,16.666666666666664,493.78898229928814,True
BTN,Bharat Nagar,800,midday,74,76,847,141.16666666666666,0.8850574712643677,maintained,3.6363636363636362,0.2125147579693034,179.20666021124947,True
BTN,Bharat Nagar,800,morning_peak,65,62,449,149.66666666666666,0.9383490073145245,maintained,3.6,0.20044543429844097,179.20666021124947,True
BTN,Bharat Nagar,800,night,40,48,297,99.0,0.6206896551724138,maintained,5.625,0.30303030303030304,179.20666021124947,True
CHP,Chaitanyapuri,300,evening_peak,78,32,529,132.25,1.0,maintained,5.1063829787234045,0.2268431001890359,11.36403525245405,True
CHP,Chaitanyapuri,300,late_night,3,2,5,1.0,0.007561436672967864,no_service,100.0,30.0,11.36403525245405,True
CHP,Chaitanyapuri,300,midday,70,38,710,118.33333333333333,0.8947700063011972,maintained,6.666666666666667,0.25352112676056343,11.36403525245405,True
CHP,Chaitanyapuri,300,morning_peak,90,40,412,137.33333333333334,1.0384373030875866,maintained,5.806451612903226,0.2184466019417476,11.36403525245405,True
CHP,Chaitanyapuri,300,night,52,22,205,68.33333333333333,0.516698172652804,maintained,5.806451612903226,0.43902439024390244,11.36403525245405,True
CHP,Chaitanyapuri,500,evening_peak,93,52,598,149.5,1.0,maintained,5.1063829787234045,0.20066889632107018,11.36403525245405,True
CHP,Chaitanyapuri,500,late_night,5,3,13,2.6,0.017391304347826087,collapsed,50.0,11.538461538461538,11.36403525245405,True
CHP,Chaitanyapuri,500,midday,87,54,795,132.5,0.8862876254180602,maintained,5.714285714285714,0.22641509433962267,11.36403525245405,True
